参数1,日期,开盘价,卖出价,最高价,最低价,收盘价
0,2023/5/25,0.00000851,0.00000898 ,0.00000868,0.00000828,0.00000850
0,2023/5/26,0.00000850,0.00000897 ,0.00000864,0.00000843,0.00000854
0,2023/5/27,0.00000854,0.00000901 ,0.00000866,0.00000850,0.00000863
0,2023/5/28,0.00000863,0.00000910 ,0.00000890,0.00000859,0.00000881
22,2023/5/29,0.00000881,0.00000929 ,0.00000887,0.00000868,0.00000870
22,2023/5/30,0.00000870,0.00000918 ,0.00000883,0.00000862,0.00000868
0,2023/5/31,0.00000867,0.00000915 ,0.00000871,0.00000830,0.00000859
110,2023/6/1,0.00000858,0.00000905 ,0.00000878,0.00000843,0.00000845
0,2023/6/2,0.00000846,0.00000893 ,0.00000874,0.00000824,0.00000860
44,2023/6/3,0.00000860,0.00000907 ,0.00000870,0.00000852,0.00000859
22,2023/6/4,0.00000859,0.00000906 ,0.00000869,0.00000854,0.00000860
66,2023/6/5,0.00000860,0.00000907 ,0.00000866,0.00000773,0.00000797
22,2023/6/6,0.00000797,0.00000841 ,0.00000824,0.00000785,0.00000818
22,2023/6/7,0.00000817,0.00000862 ,0.00000820,0.00000776,0.00000788
0,2023/6/8,0.00000788,0.00000831 ,0.00000801,0.00000781,0.00000794
44,2023/6/9,0.00000794,0.00000838 ,0.00000805,0.00000781,0.00000788
44,2023/6/10,0.00000788,0.00000831 ,0.00000793,0.00000543,0.00000685
0,2023/6/11,0.00000686,0.00000724 ,0.00000687,0.00000654,0.00000667
22,2023/6/12,0.00000667,0.00000704 ,0.00000670,0.00000639,0.00000666
0,2023/6/13,0.00000666,0.00000703 ,0.00000694,0.00000660,0.00000679
0,2023/6/14,0.00000680,0.00000717 ,0.00000694,0.00000643,0.00000656
0,2023/6/15,0.00000655,0.00000691 ,0.00000684,0.00000650,0.00000675
0,2023/6/16,0.00000675,0.00000712 ,0.00000687,0.00000660,0.00000683
0,2023/6/17,0.00000683,0.00000721 ,0.00000700,0.00000678,0.00000698
264,2023/6/18,0.00000698,0.00000736 ,0.00000755,0.00000691,0.00000721
242,2023/6/19,0.00000721,0.00000761 ,0.00000733,0.00000704,0.00000723
